"Year","Month","Transect","Site","Hard_Substrate_Percent"
2008,7,2,"SCTW",100
2008,7,3,"AQUE",100
2008,7,3,"BULL",100
2008,7,3,"CARP",100
2008,7,3,"SCDI",100
2008,7,3,"SCTW",100
2008,7,4,"AQUE",100
2008,7,4,"CARP",100
2008,7,5,"AQUE",100
2008,7,5,"CARP",100
2008,7,5,"NAPL",100
2008,7,6,"AQUE",100
2008,7,6,"BULL",100
2008,7,6,"CARP",100
2008,7,6,"NAPL",100
2008,7,7,"CARP",100
2008,7,7,"NAPL",100
2008,7,8,"CARP",100
2008,7,8,"NAPL",100
2008,8,1,"NAPL",100
2008,8,2,"NAPL",100
2008,8,3,"NAPL",100
2008,8,4,"NAPL",100
2009,7,1,"ABUR",100
2009,7,1,"AHND",100
2009,7,1,"AQUE",100
2009,7,1,"BULL",100
2009,7,1,"CARP",100
2009,7,1,"GOLB",100
2009,7,1,"IVEE",100
2009,7,1,"MOHK",100
2009,7,1,"NAPL",100
2009,7,2,"ABUR",100
2009,7,2,"AHND",100
2009,7,2,"AQUE",100
2009,7,2,"CARP",100
2009,7,2,"GOLB",100
2009,7,2,"IVEE",100
2009,7,2,"MOHK",100
2009,7,2,"NAPL",100
2009,7,2,"SCDI",100
2009,7,2,"SCTW",100
2009,7,3,"AQUE",100
2009,7,3,"BULL",100
2009,7,3,"CARP",100
2009,7,3,"NAPL",100
2009,7,3,"SCDI",100
2009,7,3,"SCTW",100
2009,7,4,"AQUE",100
2009,7,4,"CARP",100
2009,7,4,"NAPL",100
2009,7,5,"AQUE",100
2009,7,5,"CARP",100
2009,7,5,"NAPL",100
2009,7,6,"AQUE",100
2009,7,6,"BULL",100
2009,7,6,"CARP",100
2009,7,6,"NAPL",100
2009,7,7,"CARP",100
2009,7,7,"NAPL",100
2009,7,8,"CARP",100
2009,7,8,"NAPL",100
2010,7,1,"ABUR",100
2010,7,1,"AHND",100
2010,7,1,"AQUE",100
2010,7,1,"BULL",100
2010,7,1,"CARP",100
2010,7,1,"GOLB",100
2010,7,1,"IVEE",100
2010,7,1,"MOHK",100
2010,7,1,"NAPL",100
2010,7,2,"ABUR",100
2010,7,2,"AHND",100
2010,7,2,"AQUE",100
2010,7,2,"CARP",100
2010,7,2,"GOLB",100
2010,7,2,"IVEE",100
2010,7,2,"MOHK",100
2010,7,2,"NAPL",100
2010,7,2,"SCDI",100
2010,7,2,"SCTW",100
2010,7,3,"AQUE",100
2010,7,3,"BULL",100
2010,7,3,"CARP",100
2010,7,3,"NAPL",100
2010,7,3,"SCDI",100
2010,7,3,"SCTW",100
2010,7,4,"AQUE",100
2010,7,4,"CARP",100
2010,7,4,"NAPL",100
2010,7,5,"AQUE",100
2010,7,5,"CARP",100
2010,7,5,"NAPL",100
2010,7,6,"AQUE",100
2010,7,6,"BULL",100
2010,7,6,"CARP",101.25
2010,7,6,"NAPL",101.25
2010,7,7,"CARP",100
2010,7,7,"NAPL",100
2010,7,8,"CARP",100
2010,7,8,"NAPL",100
2011,7,1,"ABUR",100
2011,7,1,"AHND",100
2011,7,1,"AQUE",100
2011,7,1,"BULL",100
2011,7,1,"CARP",100
2011,7,1,"GOLB",100
2011,7,1,"IVEE",100
2011,7,1,"MOHK",100
2011,7,1,"NAPL",100
2011,7,2,"ABUR",100
2011,7,2,"AHND",100
2011,7,2,"AQUE",100
2011,7,2,"CARP",100
2011,7,2,"GOLB",100
2011,7,2,"IVEE",100
2011,7,2,"MOHK",100
2011,7,2,"NAPL",100
2011,7,2,"SCDI",100
2011,7,2,"SCTW",100
2011,7,3,"AQUE",100
2011,7,3,"BULL",100
2011,7,3,"CARP",100
2011,7,3,"NAPL",100
2011,7,3,"SCDI",100
2011,7,3,"SCTW",100
2011,7,4,"AQUE",100
2011,7,4,"CARP",100
2011,7,4,"NAPL",100
2011,7,5,"AQUE",100
2011,7,5,"CARP",100
2011,7,5,"NAPL",100
2011,7,6,"AQUE",100
2011,7,6,"BULL",100
2011,7,6,"CARP",100
2011,7,6,"NAPL",100
2011,7,7,"CARP",100
2011,7,7,"NAPL",100
2011,7,8,"CARP",100
2011,7,8,"NAPL",100
2011,10,3,"IVEE",100
2011,10,4,"IVEE",100
2011,10,5,"IVEE",100
2011,10,6,"IVEE",100
2011,10,7,"IVEE",100
2011,10,8,"IVEE",100
2012,7,1,"ABUR",100
2012,7,1,"AHND",100
2012,7,1,"AQUE",100
2012,7,1,"BULL",100
2012,7,1,"CARP",100
2012,7,1,"GOLB",100
2012,7,1,"IVEE",100
2012,7,1,"MOHK",100
2012,7,1,"NAPL",100
2012,7,2,"ABUR",100
2012,7,2,"AHND",100
2012,7,2,"AQUE",100
2012,7,2,"CARP",100
2012,7,2,"GOLB",100
2012,7,2,"IVEE",100
2012,7,2,"MOHK",100
2012,7,2,"NAPL",100
2012,7,2,"SCDI",101.25
2012,7,2,"SCTW",101.25
2012,7,3,"AQUE",100
2012,7,3,"BULL",100
2012,7,3,"CARP",100
2012,7,3,"IVEE",100
2012,7,3,"NAPL",100
2012,7,3,"SCDI",100
2012,7,3,"SCTW",100
2012,7,4,"AQUE",100
2012,7,4,"CARP",100
2012,7,4,"NAPL",100
2012,7,5,"AQUE",100
2012,7,5,"CARP",100
2012,7,5,"IVEE",100
2012,7,5,"NAPL",100
2012,7,6,"AQUE",100
2012,7,6,"BULL",100
2012,7,6,"CARP",100
2012,7,6,"IVEE",100
2012,7,6,"NAPL",100
2012,7,7,"CARP",100
2012,7,7,"IVEE",100
2012,7,7,"NAPL",100
2012,7,8,"CARP",100
2012,7,8,"IVEE",100
2012,7,8,"NAPL",100
2013,7,1,"ABUR",100
2013,7,1,"AHND",100
2013,7,1,"AQUE",100
2013,7,1,"BULL",100
2013,7,1,"CARP",100
2013,7,1,"GOLB",100
2013,7,1,"IVEE",100
2013,7,1,"MOHK",100
2013,7,1,"NAPL",100
2013,7,2,"ABUR",100
2013,7,2,"AHND",100
2013,7,2,"AQUE",100
2013,7,2,"CARP",100
2013,7,2,"GOLB",100
2013,7,2,"IVEE",100
2013,7,2,"MOHK",100
2013,7,2,"NAPL",100
2013,7,2,"SCDI",100
2013,7,2,"SCTW",100
2013,7,3,"AQUE",100
2013,7,3,"BULL",100
2013,7,3,"CARP",100
2013,7,3,"IVEE",100
2013,7,3,"NAPL",100
2013,7,3,"SCDI",100
2013,7,3,"SCTW",100
2013,7,4,"AQUE",100
2013,7,4,"CARP",100
2013,7,4,"NAPL",100
2013,7,5,"AQUE",100
2013,7,5,"CARP",100
2013,7,5,"IVEE",100
2013,7,5,"NAPL",100
2013,7,6,"AQUE",100
2013,7,6,"BULL",100
2013,7,6,"CARP",100
2013,7,6,"IVEE",100
2013,7,6,"NAPL",100
2013,7,7,"CARP",100
2013,7,7,"IVEE",100
2013,7,7,"NAPL",100
2013,7,8,"CARP",100
2013,7,8,"IVEE",100
2013,7,8,"NAPL",100
2014,7,1,"ABUR",100
2014,7,1,"AHND",100
2014,7,1,"AQUE",100
2014,7,1,"BULL",100
2014,7,1,"CARP",100
2014,7,1,"GOLB",100
2014,7,1,"IVEE",100
2014,7,1,"MOHK",100
2014,7,1,"NAPL",100
2014,7,2,"ABUR",100
2014,7,2,"AHND",100
2014,7,2,"AQUE",100
2014,7,2,"CARP",100
2014,7,2,"GOLB",100
2014,7,2,"IVEE",100
2014,7,2,"MOHK",100
2014,7,2,"NAPL",100
2014,7,2,"SCDI",100
2014,7,2,"SCTW",100
2014,7,3,"AQUE",100
2014,7,3,"BULL",100
2014,7,3,"CARP",100
2014,7,3,"IVEE",100
2014,7,3,"NAPL",100
2014,7,3,"SCDI",101.25
2014,7,3,"SCTW",100
2014,7,4,"AQUE",100
2014,7,4,"CARP",100
2014,7,4,"NAPL",100
2014,7,5,"AQUE",100
2014,7,5,"CARP",100
2014,7,5,"IVEE",100
2014,7,5,"NAPL",100
2014,7,6,"AQUE",100
2014,7,6,"BULL",100
2014,7,6,"CARP",100
2014,7,6,"IVEE",100
2014,7,6,"NAPL",100
2014,7,7,"CARP",100
2014,7,7,"IVEE",100
2014,7,7,"NAPL",100
2014,7,8,"CARP",100
2014,7,8,"IVEE",100
2014,7,8,"NAPL",100
